Address,lat,long
"The Castlewood Plan, Meadowlark, Parker, CO 80134",39.584733,39.584733
"Sheridan Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"5008 Raintree Cir, Parker, CO 80134",39.4480999,39.4480999
"10023 S Granite Hill Dr, Parker, CO 80134",39.5346973,39.5346973
"Lapis Plan, Seasons At Stonegate, Parker, CO 80134",39.5483358,39.5483358
"12766 Ironstone Way Apt 104, Parker, CO 80134",39.4832406,39.4832406
"12942 Washburn Ct, Parker, CO 80134",39.4812032,39.4812032
"12751 Randles Ave, Parker, CO 80134",39.4843224,39.4843224
"Daniel Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"The Platte Plan, Meadowlark, Parker, CO 80134",40.9812543,40.9812543
"Holbrook Plan, Timbers At The Pinery, Parker, CO 80134",39.4429209,39.4429209
"Dillon II Plan, Reata Ridge, Parker, CO 80134",39.4799961,39.4799961
"Coming Soon Plan, Trails At Crowfoot Town Collection, Parker, CO 80134",39.5155804,39.5155804
"Yorktown Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"Coming Soon Plan, Trails At Crowfoot City Collection, Parker, CO 80134",39.5155804,39.5155804
"10621 Clarkeville Way, Parker, CO 80134",39.5247067,39.5247067
"Daley Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"Arlington Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"11870 S Breeze Grass Way, Parker, CO 80134",39.500741,39.500741
"Coming Soon Plan, Trails At Crowfoot Destination Collection, Parker, CO 80134",39.5155804,39.5155804
"The Golden Gate Plan, Meadowlark, Parker, CO 80134",37.8199286,37.8199286
"Hillary Plan, Timbers At The Pinery, Parker, CO 80134",39.4429209,39.4429209
"Avril Plan, Stone Creek Ranch, Parker, CO 80134",39.4496855,39.4496855
"Dearborn Plan, Reata Ridge, Parker, CO 80134",42.3222599,42.3222599
"8432 Wheatgrass Cir, Parker, CO 80134",39.5637578,39.5637578
"Dayton Plan, Timbers At The Pinery, Parker, CO 80134",39.4431619,39.4431619
"Residence 2b Plan, The Trails At Westcreek, Parker, CO 80134",39.5473702,39.5473702
"9461 Ashbury Cir Apt 204, Parker, CO 80134",39.544063,39.544063
"Plan 2390 Modeled Plan, Stone Creek Ranch, Parker, CO 80134",39.449041,39.449041
"Daley Plan, Reata Ridge, Parker, CO 80134",39.4799961,39.4799961
"17114 E Cedar Gulch Dr, Parker, CO 80134",39.5120254,39.5120254
