Street Address,Lat,Lng
"The Castlewood Plan, Meadowlark",39.584733,-104.900513
"Sheridan Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
5008 Raintree Cir,39.4480999,-104.7917959
10023 S Granite Hill Dr,39.5346973,-104.8071825
"Lapis Plan, Seasons at Stonegate",39.5483358,-104.7991632
12766 Ironstone Way APT 104,39.48324059999999,-104.762569
12942 Washburn Ct,39.4812032,-104.7852667
12751 Randles Ave,39.4843224,-104.7869652
"Daniel Plan, Stone Creek Ranch",39.448653,-104.7625671
"The Platte Plan, Meadowlark",40.9812543,-98.1515804
"Holbrook Plan, Timbers at the Pinery",39.4429209,-104.707283
"Dillon II Plan, Reata Ridge",39.4799961,-104.754796
"Coming Soon Plan, Trails at Crowfoot Town Collection",39.5155804,-104.780352
"Yorktown Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
"Coming Soon Plan, Trails at Crowfoot City Collection",39.5155804,-104.780352
10621 Clarkeville Way,39.5247067,-104.7836131
"Daley Plan, Stone Creek Ranch",39.448653,-104.7625671
"Arlington Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
11870 S Breeze Grass Way,39.500741,-104.80515
"Coming Soon Plan, Trails at Crowfoot Destination Collection",39.5155804,-104.780352
"The Golden Gate Plan, Meadowlark",37.8199286,-122.4782551
"Hillary Plan, Timbers at the Pinery",39.4429209,-104.707283
"Avril Plan, Stone Creek Ranch",39.44968550000001,-104.7603933
"Dearborn Plan, Reata Ridge",42.3222599,-83.17631449999999
8432 Wheatgrass Cir,39.5637578,-104.7936878
"Dayton Plan, Timbers at the Pinery",39.4431619,-104.7030694
"Residence 2B Plan, The Trails at Westcreek",39.5473702,-104.7750722
9461 Ashbury Cir APT 204,39.544063,-104.7996217
"Plan 2390 Modeled Plan, Stone Creek Ranch",39.449041,-104.771257
"Daley Plan, Reata Ridge",39.4799961,-104.754796
17114 E Cedar Gulch Dr,39.5120254,-104.791454
16795 Trail Sky Cir,39.5061899,-104.7952834
"Hemingway Plan, Stone Creek Ranch",39.448653,-104.7625671
"Crestone (Residence 49204) Plan, Anthology",37.9963881,-105.6997332
5379 Pinyon Jay Rd,39.4386269,-104.73711
17040 Motsenbocker Way,39.5217582,-104.7895849
"Signature Series Plan One Plan, Pradera",39.4438618,-104.8014983
"Daniel Plan, Reata Ridge",39.4799961,-104.754796
"Residence 2A Plan, The Trails at Westcreek",39.5473702,-104.7750722
"Silverthorne Plan, Stone Creek Ranch",39.448653,-104.7625671
"The Waterton Plan, Meadowlark",39.5094181,-104.7889004
"Plan 1818 Modeled Plan, Stone Creek Ranch",39.449041,-104.771257
"The Nederland Plan, Senderos Creek: The Town Collection",39.511777,-104.791957
"Darius Plan, Stone Creek Ranch",39.448653,-104.7625671
"Daley Plan, Timbers at the Pinery",39.4429209,-104.707283
"Granby Plan, Alder Village",39.5541954,-104.805725
"Willow (Residence 34101) Plan, Anthology",-26.0151396,28.1329457
8749 Eagle Moon Way,39.467891,-104.7244317
"Evergreen Plan, Luxury Townhomes at Pine Bluffs",39.493699,-104.753957
"Plan 1590 Plan, Stone Creek Ranch",39.449041,-104.771257
"European Hillside Bordeaux Plan, Pradera",39.4381785,-104.7907714
"Vail (Residence 39208) Plan, Anthology",39.4831857,-104.7836751
"Cortez Plan, Stone Creek Ranch",39.448653,-104.7625671
"The Castlewood Plan, Senderos Creek: The Canyon Collection",39.509896,-104.785659
"Coronado Plan, Stone Creek Ranch",32.6858853,-117.1830891
"The Buena Vista Plan, Senderos Creek: The Town Collection",39.511777,-104.791957
"Residence Three Plan, The Timbers at the Pinery by Berkeley Homes",39.4429209,-104.707283
"Harmon Plan, Timbers at the Pinery",39.4429209,-104.707283
"Plan 2651 Plan, Stone Creek Ranch",39.449041,-104.771257
"Estes Plan, Alder Village",39.5541954,-104.805725
"Estes Plan, Stone Creek Ranch",39.448653,-104.7625671
"Stonehaven Plan, Sierra Ridge : The Monarch Collection",39.5336692,-104.8195157
"Dayton Plan, Reata Ridge",39.4799961,-104.754796
"Bedford Plan, Stone Creek Ranch",39.448653,-104.7625671
"The Perry Park Plan, Senderos Creek: The Town Collection",39.511777,-104.791957
"Conifer Plan, Luxury Townhomes at Pine Bluffs",39.493699,-104.753957
12852 Randles Ave,39.4829258,-104.7844811
"Aspen (Residence 39209) Plan, Anthology",32.4124147,-90.2901815
"Genesee Plan, Alder Village",39.5541954,-104.805725
"The Clear Creek Plan, Senderos Creek: The Canyon Collection",39.509896,-104.785659
8460 Wheatgrass Cir,39.56292029999999,-104.7940525
"Residence One Plan, The Timbers at the Pinery by Berkeley Homes",39.4429209,-104.707283
"Graham Plan, Sierra Ridge : The Monarch Collection",39.5336692,-104.8195157
"Plan 1685 Plan, Stone Creek Ranch",39.449041,-104.771257
"Centennial Plan, Stone Creek Ranch",39.448653,-104.7625671
"The Eldorado Plan, Senderos Creek: The Canyon Collection",39.509896,-104.785659
"The Palisade Plan, Senderos Creek: The Town Collection",39.511777,-104.791957
"Telluride (Residence 39103) Plan, Anthology",37.9374939,-107.8122852
"Morrison Plan, Alder Village",39.5541954,-104.805725
"Delaney Plan, Reata Ridge",39.4799961,-104.754796
"Andrea Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
5811 Regal Oak Ln,39.4464801,-104.7110273
"Hopewell Plan, Stone Creek Ranch",39.448653,-104.7625671
"Lincoln (Residence 49203) Plan, Anthology",42.2085364,-84.406761
15705 Savory Cir,39.5089356,-104.8070457
"Residence Two Plan, The Timbers at the Pinery by Berkeley Homes",39.4429209,-104.707283
"Residence 3A Plan, The Trails at Westcreek",39.5473702,-104.7750722
12766 Ironstone Way APT 203,39.48324059999999,-104.762569
"European Hillside Umbria Plan, Pradera",42.938004,12.6216211
"Plan 1747 Plan, Stone Creek Ranch",39.449041,-104.771257
11979 S Copper Creek Cir,39.4994206,-104.8090518
