Name,Lat,Lng
"11628 Masonville Dr, Parker, CO 80134",39.5255712,-104.7925025
"15969 Hedgeway Dr, Parker, CO 80134",39.5379003,-104.8041279
"10709 Jordan Ct, Parker, CO 80134",39.5218399,-104.7930723
"11598 S Maiden Hair Way, Parker, CO 80134",39.5058624,-104.8089378
"12914 Ironstone Way Apt 204, Parker, CO 80134",39.48324059999999,-104.762569
"8661 Red Clover Ct, Parker, CO 80134",39.5600809,-104.7997967
"10225 Tall Oaks Cir, Parker, CO 80134",39.5300998,-104.8291968
"17440 E Iron Ore Ave, Parker, CO 80134",39.50976,-104.786982
"19435 E Mann Creek Dr, Parker, CO 80134",39.485734,-104.7621666
"17054 Foxton Dr, Parker, CO 80134",39.5163935,-104.7882628
"9584 Pearl Cir Unit 104, Parker, CO 80134",39.543753,-104.7965005
"17044 E Carr Ave, Parker, CO 80134",39.5189207,-104.7889011
"6048 Ponderosa Way, Parker, CO 80134",39.4519117,-104.7021961
"17443 Nature Walk Trl Unit 305, Parker, CO 80134",39.5504441,-104.7868254
"6457 N Windhollow Ct, Parker, CO 80134",39.4560322,-104.7483795
"10597 Rutledge St, Parker, CO 80134",39.5240662,-104.8226847
"6497 Cherry Creek Dr, Parker, CO 80134",39.4355533,-104.7656079
"Hough Poin, Parker, CO 80134",39.5342391,-104.8264711
"5314 Blandford Cir, Parker, CO 80134",39.4395879,-104.7487897
"8903 Cottonwood Way, Parker, CO 80134",39.5553417,-104.7817886
"8539 Sweet Clover Way, Parker, CO 80134",39.5610515,-104.8017571
"13820 Tall Oaks Loop, Parker, CO 80134",39.5318401,-104.8289433
"19783 Glendale Ln, Parker, CO 80134",39.4954894,-104.7621438
"10893 Bullock Ct, Parker, CO 80134",39.5191559,-104.8020307
"12068 Swansea Dr, Parker, CO 80134",39.5305793,-104.8485943
"9282 Longgate Ln, Parker, CO 80134",39.5477508,-104.8064986
"12856 S Silver Plume St, Parker, CO 80134",39.4834556,-104.767545
"5407 Rhyolite Way, Parker, CO 80134",39.4408525,-104.7647418
"10565 Casper Point, Parker, CO 80134",39.5244323,-104.8143863
"9451 Ashbury Cir Unit 201, Parker, CO 80134",39.5446678,-104.7999152
"16736 E Hollow Horn Ave, Parker, CO 80134",39.4963325,-104.7958076
"17739 Biscuit Root Dr, Parker, CO 80134",39.5555638,-104.7834296
"Oslo Ave, Parker, CO 80134",39.5244953,-104.817282
"9180 Rolling Way Unit 203, Parker, CO 80134",39.5501914,-104.7875609
"5201 Creek Way, Parker, CO 80134",39.4373411,-104.7655623
"8377 Prairie Clover Way, Parker, CO 80134",39.564829,-104.7948731
"9685 Rockhampton Way, Highlands Ranch, CO 80130",39.54133720000001,-104.9263603
"9064 Greenspointe Ln, Highlands Ranch, CO 80130",39.5511343,-104.9225962
