House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
New construction,"The Castlewood Plan, Meadowlark, Parker, CO 80134","$481,990 ","The Castlewood Plan, Meadowlark",Parker,CO,80134,"2,411",https://www.zillow.com/community/meadowlark/2078394152_zpid/
New construction,"Sheridan Plan, Ridgeline At Meridian Village, Parker, CO 80134","$587,950 ","Sheridan Plan, Ridgeline at Meridian Village",Parker,CO,80134,"2,890",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676549_zpid/
House for sale,"5008 Raintree Cir, Parker, CO 80134","$1,700,000 ",5008 Raintree Cir,Parker,CO,80134,"7,831",https://www.zillow.com/homedetails/5008-Raintree-Cir-Parker-CO-80134/81772900_zpid/
House for sale,"10023 S Granite Hill Dr, Parker, CO 80134","$635,000 ",10023 S Granite Hill Dr,Parker,CO,80134,"3,419",https://www.zillow.com/homedetails/10023-S-Granite-Hill-Dr-Parker-CO-80134/2077948415_zpid/
New construction,"Lapis Plan, Seasons At Stonegate, Parker, CO 80134","$524,950 ","Lapis Plan, Seasons at Stonegate",Parker,CO,80134,"2,180",https://www.zillow.com/community/seasons-at-stonegate/2078676566_zpid/
Condo for sale,"12766 Ironstone Way Apt 104, Parker, CO 80134","$260,000 ",12766 Ironstone Way APT 104,Parker,CO,80134,929,https://www.zillow.com/homedetails/12766-Ironstone-Way-APT-104-Parker-CO-80134/63390394_zpid/
New construction,"12942 Washburn Ct, Parker, CO 80134","$649,990 ",12942 Washburn Ct,Parker,CO,80134,"3,181",https://www.zillow.com/homedetails/12942-Washburn-Ct-Parker-CO-80134/249983547_zpid/
New construction,"12751 Randles Ave, Parker, CO 80134","$499,990 ",12751 Randles Ave,Parker,CO,80134,"1,991",https://www.zillow.com/homedetails/12751-Randles-Ave-Parker-CO-80134/249985760_zpid/
New construction,"Daniel Plan, Stone Creek Ranch, Parker, CO 80134","$525,950 ","Daniel Plan, Stone Creek Ranch",Parker,CO,80134,"2,320",https://www.zillow.com/community/stone-creek-ranch/2078676573_zpid/
New construction,"The Platte Plan, Meadowlark, Parker, CO 80134","$462,990 ","The Platte Plan, Meadowlark",Parker,CO,80134,"1,819",https://www.zillow.com/community/meadowlark/2078394151_zpid/
